💞TW,#genre#
KCTV_광주,http://119.77.96.184:1935/chn05/chn05/chunklist.m3u8
MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
韩·BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩·EBS-1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩-EBS-1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩·EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩·EBS-2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩-EBS-2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩-EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩·EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩·KBC,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩·SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩·阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩·阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩·HotPlusTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
韩-Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩-KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
韩-MBC综合频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
韩-NBS Korea Agricultural Broadc,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
朝鲜News,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8

🎞️Movies,#genre#
星爷,http://43.128.40.42:198/虎牙直播/huya.php?id=11342412
英叔,http://43.128.40.42:198/虎牙直播/huya.php?id=11342421
达叔,http://43.128.40.42:198/虎牙直播/huya.php?id=11336592
发哥,http://43.128.40.42:198/虎牙直播/huya.php?id=11342387
成龙,http://43.128.40.42:198/虎牙直播/huya.php?id=11342386
王晶,http://43.128.40.42:198/虎牙直播/huya.php?id=11602058
沈腾,http://43.128.40.42:198/虎牙直播/huya.php?id=11601968
黄渤,http://43.128.40.42:198/虎牙直播/huya.php?id=11352876
强森,http://43.128.40.42:198/虎牙直播/huya.php?id=21059581
漫威,http://43.128.40.42:198/虎牙直播/huya.php?id=11602034
宇宙,http://43.128.40.42:198/虎牙直播/huya.php?id=11342428
怪兽,http://43.128.40.42:198/虎牙直播/huya.php?id=21059577
武侠,http://43.128.40.42:198/虎牙直播/huya.php?id=11342427
警匪,http://43.128.40.42:198/虎牙直播/huya.php?id=11352886
罪犯,http://43.128.40.42:198/虎牙直播/huya.php?id=11352962
枪战,http://43.128.40.42:198/虎牙直播/huya.php?id=21059579
海盗,http://43.128.40.42:198/虎牙直播/huya.php?id=21059595
赛车,http://43.128.40.42:198/虎牙直播/huya.php?id=11279247
推荐,http://43.128.40.42:198/虎牙直播/huya.php?id=11602041
救援,http://43.128.40.42:198/虎牙直播/huya.php?id=21059594
热血,http://43.128.40.42:198/虎牙直播/huya.php?id=11352934
盗墓,http://43.128.40.42:198/虎牙直播/huya.php?id=21059552
贺岁,http://43.128.40.42:198/虎牙直播/huya.php?id=11601971
玄幻,http://43.128.40.42:198/虎牙直播/huya.php?id=11342414
谍战,http://43.128.40.42:198/虎牙直播/huya.php?id=21059585
战争,http://43.128.40.42:198/虎牙直播/huya.php?id=21059592
喜剧,http://43.128.40.42:198/虎牙直播/huya.php?id=11352877
港片,http://43.128.40.42:198/虎牙直播/huya.php?id=11602043
国产,http://43.128.40.42:198/虎牙直播/huya.php?id=11352973
周星星,http://43.128.40.42:198/虎牙直播/huya.php?id=11336587
李连杰,http://43.128.40.42:198/虎牙直播/huya.php?id=11342390
洪金宝,http://43.128.40.42:198/虎牙直播/huya.php?id=11279251
梁家辉,http://43.128.40.42:198/虎牙直播/huya.php?id=11342429
许冠英,http://43.128.40.42:198/虎牙直播/huya.php?id=11601972
斯坦森,http://43.128.40.42:198/虎牙直播/huya.php?id=21059588
小鬼头,http://43.128.40.42:198/虎牙直播/huya.php?id=11352963
八点档,http://43.128.40.42:198/虎牙直播/huya.php?id=880261
蜘蛛侠,http://43.128.40.42:198/虎牙直播/huya.php?id=21059599
